x,y,r,maturity,stress,nab1,t_birth,t_death
591,-481,150,1,0,0,875.9,886.1
314,76,150,1,0,0,808.1,886.1
310,237,150,1,0,0,895.9,898.5
783,252,150,0,0,0,899.2,-899.3
918,398,150,1,0,0,838.2,900.0
607,-110,150,1,0,0,866.8,902.5
879,-308,150,1,0,0,901.2,909.9
99,-72,150,1,0,0,887.4,914.0
519,276,150,1,0,0,892.6,916.4
873,439,150,1,0,0,896.5,922.0
562,-221,150,0,0,0,925.3,-925.3
740,96,150,0,0,0,927.3,-927.3
886,-5,150,1,0,0,914.7,928.6
628,-164,150,0,0,0,930.3,-930.3
706,-472,150,1,0,0,904.4,932.7
712,-372,150,1,0,0,942.0,942.7
906,351,150,1,0,0,939.6,943.5
320,-447,150,1,0,0,934.2,948.8
779,18,150,1,0,0,941.2,949.2
899,372,150,1,0,0,839.8,950.7
63,-443,150,1,0,0,950.4,954.5
330,382,150,1,0,0,954.0,956.0
24,319,150,1,0,0,944.3,957.3
598,-134,150,1,0,0,897.7,957.7
416,-373,150,0,0,0,961.9,-961.9
771,317,150,0,0,0,965.0,-965.1
928,9,150,1,0,0,951.2,968.8
999,39,150,1,0,0,962.8,969.0
694,-58,150,1,0,0,914.3,969.6
306,383,150,1,0,0,964.3,971.6
844,148,150,1,0,0,935.0,972.8
913,-411,150,1,0,0,971.8,979.9
411,367,150,1,0,0,974.7,985.7
513,-436,150,1,0,0,972.2,985.7
858,-356,150,1,0,0,969.8,988.8
314,-424,150,1,0,0,988.1,996.3
916,109,150,1,0,0,991.3,999.0
797,-204,150,0,0,0,1001.0,-1001.0
876,241,150,1,0,0,916.0,1003.2
74,-148,150,1,0,0,996.2,1003.4
373,-304,150,1,0,0,957.4,1010.2
987,-63,150,0,0,0,1010.2,-1010.3
613,-204,150,0,0,0,1014.2,-1014.2
650,34,150,1,0,0,1009.5,1019.0
778,116,150,0,0,0,1020.3,-1020.3
290,139,150,1,0,0,1017.2,1026.1
958,6,150,1,0,0,1022.8,1028.4
575,-108,150,1,0,0,1017.7,1032.2
901,71,150,1,0,0,1030.7,1032.3
514,-210,150,0,0,0,1035.7,-1035.7
213,-235,150,1,0,0,1030.6,1035.8
479,-406,150,0,0,0,1036.7,-1036.7
991,361,150,1,0,0,994.7,1040.9
794,0,150,1,0,0,1042.3,1043.7
775,-352,150,1,0,0,1000.9,1047.0
215,-27,150,1,0,0,1035.6,1048.9
464,-499,150,1,0,0,997.2,1056.1
584,33,150,1,0,0,1011.3,1058.1
981,-48,150,0,0,0,1061.7,-1061.7
300,397,150,1,0,0,1031.3,1063.3
712,-491,150,1,0,0,1049.2,1064.1
